Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.2s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.2s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.3s
Preparing reprojection indices for testing
Area_5 done in 0.3s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 53173
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 53173
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.0s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.614 acc=  8% / t(ms): 1109.3 188596.4  63.8)
e000-i0440 => L=1.141 acc= 58% / t(ms):   5.9  65.5  85.2)
e000-i0447 => L=1.423 acc= 47% / t(ms):   5.9  65.9  84.2)
e000-i0454 => L=1.165 acc= 62% / t(ms):   6.0  67.1  83.8)
e000-i0461 => L=1.535 acc= 43% / t(ms):   5.8  67.1  82.8)
e000-i0468 => L=0.950 acc= 64% / t(ms):   6.1  64.7  82.0)
e000-i0475 => L=1.178 acc= 59% / t(ms):   6.1  64.1  82.8)
e000-i0482 => L=1.683 acc= 42% / t(ms):   6.1  64.4  82.6)
e000-i0489 => L=1.677 acc= 44% / t(ms):   5.9  64.2  85.8)
e000-i0496 => L=1.405 acc= 52% / t(ms):   5.8  65.1  83.9)
Validation : 0.0% (timings : 49.94 4.13)
Validation : 22.0% (timings : 42.10 28.76)
Validation : 52.0% (timings : 32.69 37.77)
Validation : 82.0% (timings : 32.04 41.02)
S3DIS mean IoU = 22.2%
e001-i0000 => L=1.230 acc= 56% / t(ms): 8800.1  39.2 151.6)
e001-i0007 => L=1.150 acc= 55% / t(ms):   3.8  70.9  84.0)
e001-i0014 => L=1.410 acc= 53% / t(ms):   4.8  66.4  85.2)
e001-i0021 => L=1.125 acc= 65% / t(ms):   5.2  64.7  84.9)
e001-i0028 => L=1.468 acc= 48% / t(ms):   5.6  64.7  83.8)
e001-i0035 => L=1.160 acc= 64% / t(ms):   5.7  63.6  84.5)
e001-i0042 => L=1.036 acc= 65% / t(ms):   5.7  65.5  84.9)
e001-i0049 => L=0.972 acc= 67% / t(ms):   5.8  63.0  84.9)
e001-i0056 => L=1.204 acc= 56% / t(ms):   5.9  64.8  85.6)
e001-i0063 => L=0.977 acc= 70% / t(ms):   5.9  64.3  83.8)
e001-i0070 => L=1.160 acc= 62% / t(ms):   6.0  63.2  85.1)
e001-i0077 => L=1.212 acc= 60% / t(ms):   6.1  64.8  84.9)
e001-i0084 => L=0.998 acc= 69% / t(ms):   6.1  64.4  82.9)
e001-i0091 => L=0.889 acc= 70% / t(ms):   6.1  66.6  83.8)
e001-i0098 => L=0.893 acc= 72% / t(ms):   6.0  65.8  83.5)
e001-i0105 => L=0.972 acc= 70% / t(ms):   6.0  65.7  86.2)
e001-i0112 => L=1.624 acc= 48% / t(ms):   6.0  64.6  85.7)
e001-i0119 => L=1.469 acc= 43% / t(ms):   5.8  65.1  85.6)
e001-i0126 => L=1.085 acc= 66% / t(ms):   5.8  64.5  85.2)
e001-i0133 => L=1.311 acc= 59% / t(ms):   5.6  65.6  85.5)
e001-i0140 => L=1.084 acc= 67% / t(ms):   5.8  63.6  85.0)
e001-i0147 => L=0.916 acc= 69% / t(ms):   5.7  64.1  85.6)
e001-i0154 => L=1.057 acc= 65% / t(ms):   5.7  63.8  85.5)
e001-i0161 => L=1.304 acc= 49% / t(ms):   6.0  63.8  83.9)
e001-i0168 => L=0.996 acc= 70% / t(ms):   6.0  63.9  83.6)
e001-i0175 => L=1.361 acc= 53% / t(ms):   5.8  63.3  83.0)
e001-i0182 => L=0.949 acc= 71% / t(ms):   5.7  62.8  83.1)
e001-i0189 => L=1.538 acc= 52% / t(ms):   5.5  63.1  83.3)
e001-i0196 => L=0.951 acc= 73% / t(ms):   5.6  64.8  83.6)
e001-i0203 => L=1.250 acc= 54% / t(ms):   5.6  62.8  83.2)
e001-i0210 => L=1.072 acc= 65% / t(ms):   5.5  65.1  84.6)
e001-i0217 => L=1.392 acc= 47% / t(ms):   5.5  66.9  84.7)
e001-i0224 => L=1.088 acc= 64% / t(ms):   5.7  67.1  85.0)
e001-i0231 => L=1.296 acc= 48% / t(ms):   5.8  67.8  84.5)
e001-i0238 => L=1.200 acc= 56% / t(ms):   5.8  67.3  84.7)
e001-i0245 => L=1.301 acc= 55% / t(ms):   5.9  67.5  85.2)
e001-i0252 => L=0.929 acc= 68% / t(ms):   5.9  64.1  85.7)
e001-i0259 => L=1.150 acc= 58% / t(ms):   6.0  63.3  85.1)
e001-i0266 => L=0.873 acc= 70% / t(ms):   5.9  64.2  84.1)
e001-i0273 => L=1.160 acc= 62% / t(ms):   5.9  65.6  84.7)
e001-i0280 => L=0.960 acc= 67% / t(ms):   6.0  64.7  85.4)
e001-i0287 => L=1.160 acc= 56% / t(ms):   5.8  66.2  85.4)
e001-i0294 => L=1.190 acc= 55% / t(ms):   5.7  65.8  85.1)
e001-i0301 => L=0.897 acc= 69% / t(ms):   5.8  66.5  85.5)
e001-i0308 => L=1.195 acc= 51% / t(ms):   5.8  67.6  84.4)
e001-i0315 => L=1.093 acc= 64% / t(ms):   5.8  65.1  84.2)
e001-i0322 => L=1.337 acc= 53% / t(ms):   5.9  64.3  84.5)
e001-i0329 => L=1.387 acc= 61% / t(ms):   5.7  65.9  85.1)
e001-i0336 => L=0.874 acc= 70% / t(ms):   5.6  66.1  86.4)
e001-i0343 => L=1.134 acc= 62% / t(ms):   5.6  63.9  85.2)
e001-i0350 => L=0.918 acc= 68% / t(ms):   5.7  62.9  84.1)
e001-i0357 => L=1.109 acc= 60% / t(ms):   5.7  63.1  84.0)
e001-i0364 => L=0.816 acc= 74% / t(ms):   5.7  65.6  84.1)
e001-i0370 => L=1.259 acc= 56% / t(ms):   6.0  69.9  87.3)
e001-i0377 => L=1.386 acc= 53% / t(ms):   5.7  68.8  87.4)
e001-i0384 => L=1.389 acc= 59% / t(ms):   5.5  65.7  85.6)
e001-i0391 => L=0.917 acc= 71% / t(ms):   5.8  65.9  86.7)
e001-i0398 => L=0.985 acc= 64% / t(ms):   5.9  69.1  86.9)
e001-i0405 => L=1.338 acc= 52% / t(ms):   6.2  69.8  85.8)
e001-i0412 => L=1.184 acc= 58% / t(ms):   6.4  69.0  85.5)
e001-i0419 => L=0.987 acc= 67% / t(ms):   6.4  69.2  85.5)
e001-i0426 => L=0.765 acc= 76% / t(ms):   6.0  68.7  85.3)
e001-i0433 => L=0.863 acc= 73% / t(ms):   6.0  67.5  84.0)
e001-i0440 => L=1.126 acc= 64% / t(ms):   5.9  67.6  83.3)
e001-i0447 => L=1.212 acc= 59% / t(ms):   5.9  66.0  84.4)
e001-i0454 => L=0.969 acc= 71% / t(ms):   6.0  65.2  83.1)
e001-i0461 => L=0.794 acc= 78% / t(ms):   5.8  66.1  83.8)
e001-i0468 => L=0.739 acc= 82% / t(ms):   5.8  63.7  85.0)
e001-i0475 => L=1.153 acc= 63% / t(ms):   5.9  65.0  85.3)
e001-i0482 => L=1.045 acc= 68% / t(ms):   6.1  66.7  86.3)
e001-i0489 => L=0.922 acc= 69% / t(ms):   5.9  66.4  85.0)
e001-i0496 => L=0.925 acc= 70% / t(ms):   5.8  66.4  84.8)
Validation : 0.0% (timings : 49.28 3.63)
Validation : 22.0% (timings : 44.90 25.24)
Validation : 52.0% (timings : 36.61 36.18)
Validation : 82.0% (timings : 31.34 40.37)
S3DIS mean IoU = 25.7%
e002-i0000 => L=1.388 acc= 56% / t(ms): 8631.1  45.6 153.3)
e002-i0007 => L=0.925 acc= 71% / t(ms):   5.2  68.4  85.3)
e002-i0014 => L=0.619 acc= 85% / t(ms):   5.7  67.7  84.7)
e002-i0021 => L=1.073 acc= 67% / t(ms):   5.8  66.9  85.0)
e002-i0028 => L=0.976 acc= 68% / t(ms):   5.8  65.7  84.1)
e002-i0035 => L=0.969 acc= 69% / t(ms):   5.7  65.9  82.6)
e002-i0042 => L=0.723 acc= 77% / t(ms):   5.7  67.8  84.7)
e002-i0049 => L=1.394 acc= 49% / t(ms):   5.6  66.2  83.8)
e002-i0056 => L=1.444 acc= 55% / t(ms):   5.9  64.4  82.9)
e002-i0063 => L=0.792 acc= 73% / t(ms):   6.1  63.6  81.6)
e002-i0070 => L=0.957 acc= 67% / t(ms):   5.8  65.3  84.8)
e002-i0077 => L=0.942 acc= 70% / t(ms):   5.7  64.0  85.0)
e002-i0084 => L=0.931 acc= 68% / t(ms):   5.7  65.1  85.1)
e002-i0091 => L=0.932 acc= 69% / t(ms):   5.6  64.5  85.5)
e002-i0098 => L=0.946 acc= 69% / t(ms):   5.7  64.1  85.1)
e002-i0105 => L=0.723 acc= 76% / t(ms):   5.6  64.3  83.7)
e002-i0112 => L=0.875 acc= 69% / t(ms):   5.7  65.0  83.6)
e002-i0119 => L=0.791 acc= 73% / t(ms):   5.6  64.4  83.8)
e002-i0126 => L=1.046 acc= 65% / t(ms):   6.2  63.8  84.5)
e002-i0133 => L=1.109 acc= 64% / t(ms):   5.9  64.3  85.9)
e002-i0140 => L=1.063 acc= 61% / t(ms):   5.9  65.2  86.4)
e002-i0147 => L=0.868 acc= 71% / t(ms):   5.7  65.6  84.9)
e002-i0154 => L=1.298 acc= 58% / t(ms):   5.7  66.4  84.3)
e002-i0161 => L=0.850 acc= 73% / t(ms):   5.7  64.4  84.1)
e002-i0168 => L=1.097 acc= 67% / t(ms):   5.8  64.1  84.9)
e002-i0175 => L=1.084 acc= 63% / t(ms):   5.8  64.4  84.4)
e002-i0182 => L=1.316 acc= 58% / t(ms):   5.8  66.1  85.3)
e002-i0189 => L=0.887 acc= 71% / t(ms):   5.8  66.4  86.1)
e002-i0196 => L=1.086 acc= 61% / t(ms):   6.0  65.2  83.6)
e002-i0203 => L=1.135 acc= 61% / t(ms):   6.0  65.1  84.3)
e002-i0210 => L=0.869 acc= 68% / t(ms):   6.0  63.3  85.1)
e002-i0217 => L=1.077 acc= 64% / t(ms):   6.0  63.6  82.9)
e002-i0224 => L=1.094 acc= 65% / t(ms):   6.1  63.6  82.8)
e002-i0231 => L=0.955 acc= 71% / t(ms):   6.1  66.9  84.5)
e002-i0238 => L=0.997 acc= 66% / t(ms):   6.4  64.5  83.7)
e002-i0245 => L=0.920 acc= 69% / t(ms):   6.1  64.0  82.5)
e002-i0252 => L=1.376 acc= 51% / t(ms):   6.1  63.2  82.6)
e002-i0259 => L=1.262 acc= 58% / t(ms):   5.8  64.8  83.0)
e002-i0266 => L=1.034 acc= 66% / t(ms):   6.1  67.1  84.7)
e002-i0273 => L=1.297 acc= 56% / t(ms):   6.4  66.2  84.6)
e002-i0280 => L=1.228 acc= 58% / t(ms):   6.6  68.8  87.0)
e002-i0287 => L=1.079 acc= 66% / t(ms):   6.0  72.0  88.0)
e002-i0293 => L=1.286 acc= 56% / t(ms):   6.3  72.9  88.0)
e002-i0300 => L=1.206 acc= 62% / t(ms):   5.9  69.6  86.1)
e002-i0307 => L=1.355 acc= 55% / t(ms):   5.8  64.9  86.6)
e002-i0314 => L=0.727 acc= 79% / t(ms):   5.8  69.1  87.2)
e002-i0321 => L=0.917 acc= 68% / t(ms):   5.8  69.7  86.0)
e002-i0328 => L=1.208 acc= 56% / t(ms):   5.8  70.1  86.1)
e002-i0335 => L=0.964 acc= 69% / t(ms):   5.6  67.3  85.8)
e002-i0342 => L=1.092 acc= 62% / t(ms):   5.8  67.6  86.0)
e002-i0349 => L=0.918 acc= 63% / t(ms):   6.0  68.9  87.2)
e002-i0356 => L=0.900 acc= 76% / t(ms):   5.8  65.6  87.3)
e002-i0363 => L=1.003 acc= 67% / t(ms):   5.6  64.9  87.7)
e002-i0370 => L=0.914 acc= 74% / t(ms):   5.6  67.8  87.8)
e002-i0377 => L=0.907 acc= 70% / t(ms):   5.6  67.2  85.4)
e002-i0384 => L=0.798 acc= 75% / t(ms):   5.7  64.9  85.1)
e002-i0391 => L=1.122 acc= 57% / t(ms):   5.6  65.4  85.1)
e002-i0398 => L=1.129 acc= 61% / t(ms):   5.8  65.2  85.3)
e002-i0405 => L=1.319 acc= 55% / t(ms):   5.8  65.1  84.6)
e002-i0412 => L=0.942 acc= 70% / t(ms):   5.8  65.9  84.9)
e002-i0419 => L=0.903 acc= 70% / t(ms):   6.0  65.6  85.2)
e002-i0426 => L=0.971 acc= 67% / t(ms):   5.9  67.4  84.4)
