Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing potentials
Done in 0.0s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing potentials
Done in 0.0s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.8s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=10.870 acc=  6% / t(ms): 1013.7 4719.3 107.9)
e000-i0310 => L=4.513 acc= 60% / t(ms):   0.6  85.1 122.1)
e000-i0315 => L=4.431 acc= 52% / t(ms):   0.6  85.0 122.2)
e000-i0320 => L=4.261 acc= 55% / t(ms):   0.6  83.8 120.2)
e000-i0325 => L=3.821 acc= 68% / t(ms):   0.6  84.2 119.9)
e000-i0330 => L=3.832 acc= 78% / t(ms):   0.6  86.5 120.9)
e000-i0335 => L=4.324 acc= 64% / t(ms):   0.6  86.4 122.2)
e000-i0340 => L=4.083 acc= 65% / t(ms):   0.6  87.4 123.1)
e000-i0345 => L=3.760 acc= 69% / t(ms):   0.6  87.0 125.2)
e000-i0350 => L=3.745 acc= 79% / t(ms):   0.6  87.7 125.7)
e000-i0355 => L=3.604 acc= 73% / t(ms):   0.6  87.6 127.0)
e000-i0360 => L=3.960 acc= 62% / t(ms):   0.6  85.6 124.4)
e000-i0365 => L=3.727 acc= 78% / t(ms):   0.6  84.4 123.2)
e000-i0370 => L=3.993 acc= 61% / t(ms):   0.6  84.5 122.0)
e000-i0375 => L=4.275 acc= 58% / t(ms):   0.6  85.5 123.6)
e000-i0380 => L=4.155 acc= 62% / t(ms):   0.6  85.2 122.9)
e000-i0385 => L=3.853 acc= 77% / t(ms):   0.6  85.6 123.0)
e000-i0390 => L=3.809 acc= 73% / t(ms):   0.6  86.5 123.5)
e000-i0395 => L=3.851 acc= 70% / t(ms):   0.6  85.4 122.2)
e000-i0400 => L=3.719 acc= 66% / t(ms):   0.6  85.5 123.6)
e000-i0405 => L=3.791 acc= 71% / t(ms):   0.6  84.5 122.3)
e000-i0410 => L=4.012 acc= 60% / t(ms):   0.6  84.3 122.3)
e000-i0415 => L=4.365 acc= 59% / t(ms):   0.5  85.4 122.2)
e000-i0420 => L=3.966 acc= 62% / t(ms):   0.6  86.2 122.2)
e000-i0425 => L=4.017 acc= 68% / t(ms):   0.6  85.9 121.5)
e000-i0430 => L=4.149 acc= 58% / t(ms):   0.5  86.5 124.4)
e000-i0435 => L=4.052 acc= 56% / t(ms):   0.6  86.7 125.4)
e000-i0440 => L=4.280 acc= 47% / t(ms):   0.6  85.4 124.0)
e000-i0445 => L=4.342 acc= 58% / t(ms):   0.6  86.9 125.8)
e000-i0450 => L=3.733 acc= 76% / t(ms):   0.6  87.1 126.2)
e000-i0455 => L=4.074 acc= 52% / t(ms):   0.6  86.5 125.4)
e000-i0460 => L=3.958 acc= 62% / t(ms):   0.5  85.5 124.1)
e000-i0465 => L=4.021 acc= 53% / t(ms):   0.6  85.0 123.3)
e000-i0470 => L=3.696 acc= 73% / t(ms):   0.6  84.4 123.3)
e000-i0475 => L=3.619 acc= 70% / t(ms):   0.6  84.7 124.7)
e000-i0480 => L=3.274 acc= 86% / t(ms):   0.6  85.1 124.7)
e000-i0485 => L=4.339 acc= 61% / t(ms):   0.5  83.5 121.8)
e000-i0491 => L=3.499 acc= 72% / t(ms):   0.4  82.4 119.1)
e000-i0496 => L=3.444 acc= 70% / t(ms):   0.4  82.2 120.6)
Validation : 0.0% (timings : 48.50 7.01)
Validation : 24.0% (timings : 26.40 41.00)
Validation : 56.0% (timings : 11.83 53.18)
Validation : 96.0% (timings : 4.32 51.93)
S3DIS mean IoU = 25.2%
e001-i0000 => L=3.320 acc= 79% / t(ms): 7594.0 125.6 196.6)
e001-i0005 => L=3.876 acc= 64% / t(ms):   1.2 128.5 159.2)
e001-i0010 => L=4.084 acc= 67% / t(ms):   0.9 113.5 146.1)
e001-i0015 => L=3.761 acc= 64% / t(ms):   0.8 101.2 135.8)
e001-i0020 => L=3.614 acc= 69% / t(ms):   0.7  95.2 129.9)
e001-i0025 => L=3.881 acc= 64% / t(ms):   0.6  92.1 126.6)
e001-i0030 => L=3.869 acc= 62% / t(ms):   0.6  88.2 123.3)
e001-i0035 => L=3.478 acc= 73% / t(ms):   0.6  87.4 123.1)
e001-i0040 => L=3.917 acc= 61% / t(ms):   0.7  86.0 122.5)
e001-i0045 => L=3.124 acc= 81% / t(ms):   0.6  85.7 121.9)
e001-i0050 => L=3.262 acc= 73% / t(ms):   0.6  85.6 121.8)
e001-i0055 => L=3.654 acc= 74% / t(ms):   0.6  85.5 122.6)
e001-i0060 => L=3.157 acc= 82% / t(ms):   0.6  84.7 121.1)
e001-i0065 => L=3.836 acc= 72% / t(ms):   0.6  86.8 121.9)
e001-i0070 => L=4.119 acc= 60% / t(ms):   0.7  85.4 122.1)
e001-i0075 => L=3.520 acc= 71% / t(ms):   0.6  84.4 122.7)
e001-i0080 => L=3.890 acc= 58% / t(ms):   0.8  84.7 122.6)
