2023-04-04 13:26:14,851 INFO    MainThread:225688 [wandb_setup.py:_flush():76] Configure stats pid to 225688
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_setup.py:_flush():76] Loading settings from /home/zhenli/.config/wandb/settings
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_setup.py:_flush():76] Loading settings from /home/zhenli/KPConv-Triplane/wandb/settings
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_S3DIS.py', 'program': 'train_S3DIS.py'}
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_init.py:_log_setup():506] Logging user logs to /home/zhenli/KPConv-Triplane/wandb/run-20230404_132614-fvl4kqwk/logs/debug.log
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_init.py:_log_setup():507] Logging internal logs to /home/zhenli/KPConv-Triplane/wandb/run-20230404_132614-fvl4kqwk/logs/debug-internal.log
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_init.py:init():546] calling init triggers
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-04 13:26:14,852 INFO    MainThread:225688 [wandb_init.py:init():602] starting backend
2023-04-04 13:26:14,853 INFO    MainThread:225688 [wandb_init.py:init():606] setting up manager
2023-04-04 13:26:14,857 INFO    MainThread:225688 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-04 13:26:14,860 INFO    MainThread:225688 [wandb_init.py:init():613] backend started and connected
2023-04-04 13:26:14,861 INFO    MainThread:225688 [wandb_init.py:init():701] updated telemetry
2023-04-04 13:26:14,866 INFO    MainThread:225688 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-04 13:26:15,203 INFO    MainThread:225688 [wandb_run.py:_on_init():2133] communicating current version
2023-04-04 13:26:15,334 INFO    MainThread:225688 [wandb_run.py:_on_init():2142] got version response 
2023-04-04 13:26:15,335 INFO    MainThread:225688 [wandb_init.py:init():789] starting run threads in backend
2023-04-04 13:26:17,578 INFO    MainThread:225688 [wandb_run.py:_console_start():2114] atexit reg
2023-04-04 13:26:17,578 INFO    MainThread:225688 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-04 13:26:17,578 INFO    MainThread:225688 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-04 13:26:17,578 INFO    MainThread:225688 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-04 13:26:17,578 INFO    MainThread:225688 [wandb_init.py:init():831] run started, returning control to user process
2023-04-04 13:26:17,579 INFO    MainThread:225688 [wandb_run.py:_config_callback():1251] config_cb None None {'num_layers': 5, 'deform_layers': [False, False, False, False, False]}
