Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.2s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.3s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.3s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.5s
Preparing reprojection indices for testing
Area_5 done in 0.3s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 58084
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 40
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 58084
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 40
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.1s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.549 acc=  7% / t(ms): 1196.9 216524.2  66.0)
e000-i0427 => L=1.073 acc= 65% / t(ms):   6.2  72.0  85.8)
e000-i0433 => L=1.422 acc= 51% / t(ms):   6.2  72.8  86.9)
e000-i0440 => L=1.542 acc= 50% / t(ms):   5.9  72.5  86.1)
e000-i0447 => L=1.193 acc= 60% / t(ms):   6.1  72.0  85.4)
e000-i0454 => L=1.064 acc= 68% / t(ms):   6.2  71.1  84.6)
e000-i0461 => L=1.447 acc= 57% / t(ms):   6.1  71.6  84.1)
e000-i0468 => L=1.395 acc= 57% / t(ms):   6.0  70.3  83.8)
e000-i0475 => L=1.370 acc= 55% / t(ms):   6.3  70.5  83.7)
e000-i0482 => L=1.124 acc= 57% / t(ms):   6.1  71.1  84.7)
e000-i0488 => L=1.016 acc= 66% / t(ms):   5.9  72.9  85.5)
e000-i0495 => L=1.315 acc= 55% / t(ms):   5.7  71.9  85.2)
Validation : 0.0% (timings : 61.24 4.32)
Validation : 28.0% (timings : 40.43 30.37)
Validation : 56.0% (timings : 31.74 39.26)
Validation : 82.0% (timings : 31.87 42.44)
S3DIS mean IoU = 29.7%
e001-i0000 => L=1.227 acc= 58% / t(ms): 9070.6  43.1 152.2)
e001-i0006 => L=0.998 acc= 62% / t(ms):  32.6  65.1  85.1)
e001-i0013 => L=1.307 acc= 59% / t(ms):  18.7  68.2  84.7)
e001-i0020 => L=1.161 acc= 57% / t(ms):  12.1  67.7  84.2)
e001-i0026 => L=1.326 acc= 54% / t(ms):   9.5  70.8  86.8)
e001-i0033 => L=1.043 acc= 65% / t(ms):   7.6  71.2  86.0)
e001-i0040 => L=1.208 acc= 53% / t(ms):   6.9  71.7  86.2)
e001-i0046 => L=1.195 acc= 62% / t(ms):   6.6  72.1  86.4)
e001-i0053 => L=0.985 acc= 67% / t(ms):   6.4  70.9  85.7)
e001-i0060 => L=1.049 acc= 65% / t(ms):   6.1  71.5  86.0)
e001-i0066 => L=0.983 acc= 69% / t(ms):   6.0  72.0  87.3)
e001-i0073 => L=1.063 acc= 63% / t(ms):   5.9  71.0  86.3)
e001-i0080 => L=1.385 acc= 45% / t(ms):   6.3  70.5  84.8)
e001-i0087 => L=1.021 acc= 66% / t(ms):   6.0  71.6  85.6)
e001-i0094 => L=1.129 acc= 59% / t(ms):   6.0  72.1  85.1)
e001-i0100 => L=0.883 acc= 69% / t(ms):   5.9  72.9  86.9)
e001-i0107 => L=1.340 acc= 53% / t(ms):   6.0  72.7  87.4)
