Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.7s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0377 => L=4.328 acc= 52% / t(ms):   0.7  72.1 106.3)
e000-i0383 => L=4.365 acc= 58% / t(ms):   0.6  72.3 107.7)
e000-i0389 => L=3.876 acc= 63% / t(ms):   0.7  72.2 107.6)
e000-i0395 => L=4.080 acc= 61% / t(ms):   0.6  72.1 106.4)
e000-i0401 => L=3.873 acc= 68% / t(ms):   0.6  71.6 106.0)
e000-i0407 => L=4.027 acc= 60% / t(ms):   0.6  71.3 104.8)
e000-i0413 => L=3.863 acc= 66% / t(ms):   0.6  71.8 106.5)
e000-i0419 => L=4.392 acc= 52% / t(ms):   0.7  71.7 105.6)
e000-i0425 => L=3.928 acc= 62% / t(ms):   0.7  71.8 105.5)
e000-i0431 => L=4.026 acc= 61% / t(ms):   0.7  71.8 105.9)
e000-i0437 => L=4.139 acc= 58% / t(ms):   0.7  71.8 106.7)
e000-i0443 => L=4.191 acc= 52% / t(ms):   0.7  71.1 104.3)
e000-i0449 => L=4.260 acc= 59% / t(ms):   0.7  71.9 104.7)
e000-i0455 => L=4.526 acc= 50% / t(ms):   0.7  75.1 103.5)
e000-i0461 => L=4.362 acc= 54% / t(ms):   0.8  73.7 103.8)
e000-i0467 => L=4.165 acc= 61% / t(ms):   0.7  72.7 104.8)
e000-i0473 => L=4.281 acc= 55% / t(ms):   0.7  72.7 106.2)
e000-i0479 => L=3.739 acc= 67% / t(ms):   0.7  71.9 104.3)
e000-i0485 => L=3.868 acc= 62% / t(ms):   0.6  70.4 103.0)
e000-i0491 => L=3.946 acc= 64% / t(ms):   0.5  69.5 103.1)
e000-i0497 => L=3.984 acc= 58% / t(ms):   0.4  69.3 103.2)
Validation : 0.0% (timings : 47.09 5.08)
Validation : 20.0% (timings : 39.65 31.71)
Validation : 56.0% (timings : 15.87 45.89)
Validation : 96.0% (timings : 5.77 48.26)
S3DIS mean IoU = 20.6%
e001-i0000 => L=3.953 acc= 62% / t(ms): 8266.6  62.9 169.2)
e001-i0005 => L=4.626 acc= 39% / t(ms):  10.6  92.7 119.8)
