Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.7s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e003-i0017 => L=3.319 acc= 66% / t(ms):   0.9  82.7 107.6)
e003-i0023 => L=3.267 acc= 70% / t(ms):   0.8  77.6 106.1)
e003-i0029 => L=3.153 acc= 74% / t(ms):   0.7  74.9 106.8)
e003-i0035 => L=3.483 acc= 56% / t(ms):   0.7  74.0 106.4)
e003-i0041 => L=3.544 acc= 58% / t(ms):   0.6  72.6 105.1)
e003-i0047 => L=3.224 acc= 67% / t(ms):   0.7  72.4 105.5)
e003-i0053 => L=3.534 acc= 63% / t(ms):   0.8  72.2 105.4)
e003-i0059 => L=3.561 acc= 57% / t(ms):   0.8  73.6 105.5)
e003-i0065 => L=3.660 acc= 54% / t(ms):   0.7  72.9 106.3)
e003-i0071 => L=3.341 acc= 68% / t(ms):   0.7  72.6 108.4)
e003-i0077 => L=3.231 acc= 68% / t(ms):   0.6  72.4 107.8)
e003-i0083 => L=3.268 acc= 68% / t(ms):   0.6  73.8 109.1)
e003-i0089 => L=3.502 acc= 60% / t(ms):   0.6  73.3 108.9)
e003-i0095 => L=3.193 acc= 71% / t(ms):   0.8  72.8 106.7)
e003-i0101 => L=2.964 acc= 81% / t(ms):   0.6  72.5 104.9)
e003-i0107 => L=3.269 acc= 75% / t(ms):   0.7  72.7 106.6)
e003-i0113 => L=2.990 acc= 72% / t(ms):   0.6  72.7 106.7)
e003-i0119 => L=3.403 acc= 63% / t(ms):   0.7  71.9 106.6)
e003-i0125 => L=3.493 acc= 65% / t(ms):   0.7  71.3 106.0)
e003-i0131 => L=3.618 acc= 59% / t(ms):   0.6  70.9 104.1)
e003-i0137 => L=3.342 acc= 69% / t(ms):   0.6  72.2 105.6)
e003-i0143 => L=3.258 acc= 64% / t(ms):   0.8  71.7 105.2)
e003-i0149 => L=3.428 acc= 67% / t(ms):   0.7  73.0 106.8)
e003-i0155 => L=3.547 acc= 66% / t(ms):   0.7  71.6 106.2)
e003-i0161 => L=3.637 acc= 56% / t(ms):   0.7  71.6 105.5)
e003-i0167 => L=2.859 acc= 77% / t(ms):   0.7  73.7 107.9)
e003-i0173 => L=3.019 acc= 75% / t(ms):   0.6  72.3 108.1)
e003-i0179 => L=2.988 acc= 77% / t(ms):   0.6  73.1 109.5)
e003-i0185 => L=3.037 acc= 78% / t(ms):   0.5  73.0 107.2)
e003-i0191 => L=3.216 acc= 67% / t(ms):   0.6  71.9 106.3)
e003-i0197 => L=3.464 acc= 65% / t(ms):   0.5  72.9 107.4)
e003-i0203 => L=3.390 acc= 65% / t(ms):   0.5  72.1 106.5)
e003-i0209 => L=3.022 acc= 78% / t(ms):   0.6  71.3 105.7)
e003-i0215 => L=3.159 acc= 71% / t(ms):   0.6  70.4 105.6)
e003-i0221 => L=3.112 acc= 79% / t(ms):   0.8  70.2 104.7)
e003-i0227 => L=3.581 acc= 62% / t(ms):   0.7  69.8 105.8)
e003-i0233 => L=3.699 acc= 59% / t(ms):   0.8  71.2 106.9)
e003-i0239 => L=3.235 acc= 72% / t(ms):   0.7  72.7 106.2)
e003-i0245 => L=3.134 acc= 69% / t(ms):   0.7  73.0 107.2)
e003-i0251 => L=3.073 acc= 71% / t(ms):   0.6  72.7 107.9)
e003-i0257 => L=3.029 acc= 77% / t(ms):   0.6  71.9 107.2)
e003-i0263 => L=3.102 acc= 73% / t(ms):   0.6  72.5 108.4)
e003-i0269 => L=3.190 acc= 69% / t(ms):   0.6  72.0 106.8)
e003-i0275 => L=2.817 acc= 82% / t(ms):   0.6  71.3 105.8)
e003-i0281 => L=3.573 acc= 68% / t(ms):   0.6  73.0 107.2)
e003-i0287 => L=2.885 acc= 78% / t(ms):   0.6  73.2 107.5)
e003-i0293 => L=3.494 acc= 62% / t(ms):   0.6  72.2 106.1)
e003-i0299 => L=3.229 acc= 70% / t(ms):   0.7  71.8 105.7)
e003-i0305 => L=3.338 acc= 60% / t(ms):   0.9  70.6 106.4)
e003-i0311 => L=3.461 acc= 64% / t(ms):   0.8  71.1 105.8)
e003-i0317 => L=2.999 acc= 77% / t(ms):   0.8  72.3 105.7)
e003-i0323 => L=3.653 acc= 56% / t(ms):   0.7  71.9 105.5)
e003-i0329 => L=3.387 acc= 58% / t(ms):   0.7  72.7 106.6)
e003-i0335 => L=3.481 acc= 61% / t(ms):   0.7  72.6 105.1)
e003-i0341 => L=3.354 acc= 64% / t(ms):   0.7  73.0 106.3)
e003-i0347 => L=3.053 acc= 74% / t(ms):   0.9  72.1 104.8)
e003-i0353 => L=3.457 acc= 63% / t(ms):   0.8  72.8 105.2)
e003-i0359 => L=3.402 acc= 61% / t(ms):   0.7  71.7 107.0)
e003-i0365 => L=3.307 acc= 69% / t(ms):   0.7  72.2 106.7)
e003-i0371 => L=3.248 acc= 67% / t(ms):   0.6  72.9 107.8)
e003-i0377 => L=3.453 acc= 63% / t(ms):   0.8  74.2 107.3)
e003-i0383 => L=2.894 acc= 78% / t(ms):   0.7  73.9 107.8)
e003-i0389 => L=3.138 acc= 63% / t(ms):   0.6  72.6 107.6)
e003-i0395 => L=2.960 acc= 75% / t(ms):   0.8  73.0 108.5)
e003-i0401 => L=2.870 acc= 75% / t(ms):   0.8  72.2 107.4)
e003-i0407 => L=3.462 acc= 61% / t(ms):   0.6  71.8 108.4)
e003-i0413 => L=3.372 acc= 69% / t(ms):   0.6  71.3 106.5)
e003-i0419 => L=3.170 acc= 69% / t(ms):   0.7  72.3 106.8)
e003-i0425 => L=3.512 acc= 64% / t(ms):   0.6  71.9 107.1)
e003-i0431 => L=3.309 acc= 62% / t(ms):   0.6  72.0 107.8)
e003-i0437 => L=3.242 acc= 70% / t(ms):   0.6  72.9 108.8)
e003-i0443 => L=2.898 acc= 78% / t(ms):   0.6  72.7 109.0)
e003-i0449 => L=3.087 acc= 71% / t(ms):   0.6  72.2 107.3)
e003-i0455 => L=3.333 acc= 68% / t(ms):   0.6  72.9 109.3)
e003-i0461 => L=3.096 acc= 75% / t(ms):   0.6  72.2 107.3)
e003-i0467 => L=3.198 acc= 69% / t(ms):   0.6  72.1 108.1)
e003-i0473 => L=3.398 acc= 62% / t(ms):   0.7  72.6 108.1)
e003-i0479 => L=3.307 acc= 71% / t(ms):   0.6  72.1 105.9)
e003-i0485 => L=3.647 acc= 63% / t(ms):   0.6  71.6 105.7)
e003-i0491 => L=3.224 acc= 71% / t(ms):   0.5  70.6 105.4)
e003-i0497 => L=3.011 acc= 78% / t(ms):   0.4  70.3 106.4)
Validation : 0.0% (timings : 54.00 9.00)
Validation : 16.0% (timings : 48.40 39.07)
Validation : 50.0% (timings : 20.37 51.98)
Validation : 90.0% (timings : 7.39 51.45)
S3DIS mean IoU = 33.3%
e004-i0000 => L=3.142 acc= 75% / t(ms): 8329.0  55.1 137.4)
e004-i0006 => L=2.841 acc= 80% / t(ms):   0.9  88.3 107.0)
e004-i0012 => L=3.292 acc= 65% / t(ms):   0.7  80.5 108.3)
e004-i0018 => L=2.989 acc= 73% / t(ms):   0.7  75.9 106.6)
e004-i0024 => L=3.584 acc= 58% / t(ms):   0.7  74.1 105.6)
e004-i0030 => L=3.293 acc= 62% / t(ms):   0.7  73.2 106.2)
e004-i0036 => L=3.386 acc= 61% / t(ms):   0.6  72.3 106.1)
e004-i0042 => L=3.309 acc= 64% / t(ms):   0.7  72.5 106.0)
e004-i0048 => L=3.161 acc= 70% / t(ms):   0.7  71.4 105.8)
e004-i0054 => L=3.003 acc= 75% / t(ms):   0.6  72.5 107.1)
e004-i0060 => L=3.254 acc= 66% / t(ms):   0.6  72.7 107.8)
e004-i0066 => L=3.416 acc= 61% / t(ms):   0.6  72.2 107.6)
e004-i0072 => L=2.986 acc= 72% / t(ms):   0.6  71.5 106.7)
e004-i0078 => L=3.388 acc= 68% / t(ms):   0.5  72.3 107.8)
e004-i0084 => L=3.247 acc= 68% / t(ms):   0.5  74.5 107.3)
e004-i0090 => L=3.244 acc= 70% / t(ms):   0.5  72.9 107.0)
e004-i0096 => L=2.783 acc= 85% / t(ms):   0.7  71.2 105.7)
e004-i0102 => L=3.001 acc= 78% / t(ms):   0.6  72.1 106.2)
e004-i0108 => L=3.321 acc= 65% / t(ms):   0.6  70.4 106.7)
e004-i0114 => L=3.324 acc= 63% / t(ms):   0.6  70.6 105.4)
e004-i0120 => L=3.115 acc= 71% / t(ms):   0.6  71.6 105.1)
e004-i0126 => L=2.586 acc= 83% / t(ms):   0.6  71.7 106.1)
e004-i0132 => L=2.909 acc= 76% / t(ms):   0.6  71.7 105.7)
e004-i0138 => L=2.864 acc= 79% / t(ms):   0.6  74.7 107.2)
e004-i0144 => L=3.435 acc= 63% / t(ms):   0.6  72.9 107.5)
e004-i0150 => L=2.622 acc= 89% / t(ms):   0.6  72.8 107.4)
e004-i0156 => L=2.986 acc= 76% / t(ms):   0.5  72.1 106.9)
e004-i0162 => L=3.184 acc= 68% / t(ms):   0.7  71.7 105.3)
e004-i0168 => L=3.395 acc= 59% / t(ms):   0.6  72.2 107.7)
e004-i0174 => L=3.500 acc= 66% / t(ms):   0.6  71.7 107.2)
e004-i0180 => L=2.902 acc= 75% / t(ms):   0.7  73.9 110.3)
e004-i0186 => L=3.567 acc= 62% / t(ms):   0.6  72.3 107.8)
e004-i0192 => L=3.237 acc= 71% / t(ms):   0.6  73.3 108.9)
e004-i0198 => L=3.223 acc= 65% / t(ms):   0.5  72.6 108.1)
e004-i0204 => L=3.026 acc= 71% / t(ms):   0.6  71.6 107.4)
e004-i0210 => L=3.214 acc= 73% / t(ms):   0.6  72.3 107.6)
e004-i0216 => L=3.652 acc= 58% / t(ms):   0.5  71.4 108.1)
e004-i0222 => L=2.755 acc= 79% / t(ms):   0.6  71.6 107.5)
e004-i0228 => L=3.012 acc= 76% / t(ms):   0.7  71.7 105.4)
e004-i0234 => L=3.305 acc= 64% / t(ms):   0.7  71.6 105.8)
e004-i0240 => L=3.352 acc= 62% / t(ms):   0.6  72.8 105.8)
e004-i0246 => L=3.286 acc= 67% / t(ms):   0.6  73.3 107.2)
e004-i0252 => L=3.003 acc= 76% / t(ms):   0.6  72.7 106.8)
e004-i0258 => L=2.673 acc= 84% / t(ms):   0.6  72.2 107.3)
e004-i0264 => L=2.920 acc= 79% / t(ms):   0.6  71.5 106.2)
e004-i0270 => L=2.982 acc= 79% / t(ms):   0.6  72.0 106.4)
e004-i0276 => L=2.904 acc= 82% / t(ms):   0.6  73.0 108.4)
e004-i0282 => L=2.782 acc= 80% / t(ms):   0.7  71.9 106.0)
e004-i0288 => L=3.118 acc= 70% / t(ms):   0.7  73.7 109.7)
e004-i0294 => L=3.121 acc= 67% / t(ms):   0.7  72.5 108.5)
e004-i0300 => L=2.911 acc= 73% / t(ms):   0.6  72.4 108.2)
e004-i0306 => L=3.106 acc= 71% / t(ms):   0.6  72.5 108.8)
e004-i0312 => L=2.911 acc= 76% / t(ms):   0.7  72.2 107.1)
e004-i0318 => L=3.030 acc= 78% / t(ms):   0.7  71.8 107.0)
e004-i0324 => L=3.493 acc= 61% / t(ms):   0.6  72.8 107.0)
e004-i0330 => L=2.986 acc= 77% / t(ms):   0.6  72.5 108.3)
e004-i0336 => L=3.370 acc= 71% / t(ms):   0.8  71.9 108.4)
e004-i0342 => L=3.291 acc= 72% / t(ms):   0.7  71.8 108.2)
e004-i0348 => L=2.730 acc= 78% / t(ms):   0.8  71.9 108.2)
e004-i0354 => L=3.095 acc= 66% / t(ms):   0.7  71.8 106.8)
e004-i0360 => L=3.043 acc= 76% / t(ms):   0.6  71.9 107.1)
e004-i0366 => L=2.830 acc= 79% / t(ms):   0.6  71.0 105.6)
e004-i0372 => L=3.512 acc= 58% / t(ms):   0.6  70.5 105.6)
e004-i0378 => L=2.887 acc= 79% / t(ms):   0.6  70.2 105.9)
e004-i0384 => L=3.274 acc= 72% / t(ms):   0.7  70.7 105.3)
e004-i0390 => L=3.251 acc= 70% / t(ms):   0.7  71.7 106.0)
e004-i0396 => L=3.155 acc= 66% / t(ms):   0.6  72.9 108.0)
e004-i0402 => L=2.655 acc= 82% / t(ms):   0.6  74.1 107.3)
e004-i0408 => L=3.438 acc= 62% / t(ms):   0.6  74.3 108.3)
e004-i0414 => L=3.462 acc= 70% / t(ms):   0.6  73.0 107.5)
e004-i0420 => L=2.835 acc= 80% / t(ms):   0.6  72.1 106.2)
e004-i0426 => L=3.320 acc= 64% / t(ms):   0.7  72.2 106.7)
e004-i0432 => L=3.459 acc= 69% / t(ms):   0.7  73.1 108.2)
e004-i0438 => L=3.274 acc= 67% / t(ms):   0.6  73.1 106.5)
e004-i0444 => L=2.813 acc= 76% / t(ms):   0.6  73.3 106.5)
e004-i0450 => L=3.216 acc= 65% / t(ms):   0.6  73.8 106.7)
e004-i0456 => L=3.032 acc= 71% / t(ms):   0.5  73.8 108.9)
e004-i0462 => L=3.171 acc= 73% / t(ms):   0.5  74.1 108.4)
e004-i0468 => L=2.902 acc= 82% / t(ms):   0.7  74.6 108.2)
e004-i0474 => L=3.003 acc= 73% / t(ms):   0.6  72.4 105.4)
e004-i0480 => L=3.225 acc= 71% / t(ms):   0.8  71.7 105.2)
e004-i0486 => L=2.992 acc= 71% / t(ms):   0.6  71.8 106.8)
e004-i0492 => L=3.397 acc= 64% / t(ms):   0.4  71.3 106.8)
e004-i0498 => L=3.079 acc= 69% / t(ms):   0.4  70.5 105.7)
Validation : 0.0% (timings : 57.29 7.33)
Validation : 20.0% (timings : 39.32 41.33)
Validation : 54.0% (timings : 17.79 51.80)
Validation : 94.0% (timings : 6.46 50.55)
S3DIS mean IoU = 35.2%
e005-i0000 => L=2.966 acc= 83% / t(ms): 8043.8  60.0 166.6)
e005-i0006 => L=3.085 acc= 71% / t(ms):   1.0  92.8 105.0)
e005-i0012 => L=2.975 acc= 76% / t(ms):   0.8  84.9 107.5)
e005-i0018 => L=3.076 acc= 70% / t(ms):   0.8  79.0 109.8)
e005-i0024 => L=2.772 acc= 75% / t(ms):   0.7  77.1 109.5)
e005-i0030 => L=2.781 acc= 83% / t(ms):   0.6  73.4 109.3)
e005-i0036 => L=2.587 acc= 82% / t(ms):   0.8  72.7 108.2)
e005-i0042 => L=2.980 acc= 80% / t(ms):   0.8  71.8 106.8)
e005-i0048 => L=2.971 acc= 76% / t(ms):   0.7  71.1 105.7)
e005-i0054 => L=3.039 acc= 70% / t(ms):   0.7  70.2 107.6)
e005-i0060 => L=2.722 acc= 80% / t(ms):   0.7  71.3 107.7)
e005-i0066 => L=3.225 acc= 66% / t(ms):   0.7  71.2 106.5)
e005-i0072 => L=3.564 acc= 60% / t(ms):   0.7  70.9 106.1)
e005-i0078 => L=3.145 acc= 68% / t(ms):   0.6  72.3 106.4)
e005-i0084 => L=3.348 acc= 61% / t(ms):   0.7  71.9 106.1)
e005-i0090 => L=3.202 acc= 73% / t(ms):   0.6  71.1 103.4)
e005-i0096 => L=3.404 acc= 63% / t(ms):   0.7  71.4 104.2)
e005-i0102 => L=2.854 acc= 75% / t(ms):   0.7  73.6 107.1)
e005-i0108 => L=2.822 acc= 80% / t(ms):   0.6  73.4 107.9)
e005-i0114 => L=3.112 acc= 71% / t(ms):   0.5  73.3 108.0)
e005-i0120 => L=3.160 acc= 67% / t(ms):   0.6  72.6 108.4)
e005-i0126 => L=2.634 acc= 83% / t(ms):   0.7  71.2 105.4)
e005-i0132 => L=2.992 acc= 79% / t(ms):   0.6  70.7 105.9)
e005-i0138 => L=3.182 acc= 69% / t(ms):   0.6  71.2 106.7)
e005-i0144 => L=2.720 acc= 84% / t(ms):   0.6  70.9 105.2)
e005-i0150 => L=2.970 acc= 79% / t(ms):   0.6  71.9 106.2)
e005-i0156 => L=3.016 acc= 71% / t(ms):   0.6  75.6 107.4)
e005-i0162 => L=2.949 acc= 77% / t(ms):   0.5  72.9 107.2)
e005-i0168 => L=3.101 acc= 74% / t(ms):   0.6  73.2 109.4)
e005-i0174 => L=3.031 acc= 74% / t(ms):   0.6  72.8 107.8)
e005-i0180 => L=3.109 acc= 73% / t(ms):   0.6  71.3 106.0)
e005-i0186 => L=3.068 acc= 70% / t(ms):   0.7  71.6 106.9)
e005-i0192 => L=3.058 acc= 74% / t(ms):   0.6  71.2 106.4)
e005-i0198 => L=2.896 acc= 72% / t(ms):   0.6  71.2 107.1)
e005-i0204 => L=3.067 acc= 72% / t(ms):   0.6  71.4 106.8)
e005-i0210 => L=2.634 acc= 82% / t(ms):   0.6  72.2 109.1)
e005-i0216 => L=3.293 acc= 64% / t(ms):   0.6  72.3 107.7)
e005-i0222 => L=3.312 acc= 66% / t(ms):   0.6  73.0 109.1)
e005-i0228 => L=3.036 acc= 74% / t(ms):   0.6  72.3 108.0)
e005-i0234 => L=2.754 acc= 84% / t(ms):   0.6  71.6 104.9)
e005-i0240 => L=3.119 acc= 75% / t(ms):   0.6  73.3 107.7)
e005-i0246 => L=2.765 acc= 80% / t(ms):   0.6  72.8 108.5)
e005-i0252 => L=3.207 acc= 62% / t(ms):   0.6  72.5 109.0)
e005-i0258 => L=3.254 acc= 67% / t(ms):   0.7  73.0 109.1)
e005-i0264 => L=3.707 acc= 52% / t(ms):   0.6  72.6 108.1)
e005-i0270 => L=2.901 acc= 77% / t(ms):   0.7  73.1 108.0)
e005-i0276 => L=3.467 acc= 57% / t(ms):   0.7  72.5 106.3)
e005-i0282 => L=3.745 acc= 57% / t(ms):   0.7  72.6 107.1)
e005-i0288 => L=2.708 acc= 82% / t(ms):   0.7  72.4 108.4)
e005-i0294 => L=2.841 acc= 80% / t(ms):   0.7  72.7 108.2)
e005-i0300 => L=2.898 acc= 80% / t(ms):   0.7  71.6 106.6)
e005-i0306 => L=2.713 acc= 79% / t(ms):   0.7  72.4 106.9)
e005-i0312 => L=2.847 acc= 74% / t(ms):   0.7  71.5 106.3)
e005-i0318 => L=3.315 acc= 68% / t(ms):   0.6  72.2 110.3)
e005-i0324 => L=3.235 acc= 65% / t(ms):   0.6  72.1 107.9)
e005-i0330 => L=2.937 acc= 76% / t(ms):   0.7  71.9 107.0)
e005-i0336 => L=2.878 acc= 74% / t(ms):   0.6  71.9 108.8)
e005-i0342 => L=3.190 acc= 72% / t(ms):   0.5  72.0 108.8)
e005-i0348 => L=2.906 acc= 85% / t(ms):   0.6  72.1 109.8)
e005-i0354 => L=2.784 acc= 85% / t(ms):   0.6  71.5 107.1)
e005-i0360 => L=2.963 acc= 75% / t(ms):   0.6  71.1 107.6)
e005-i0366 => L=3.352 acc= 62% / t(ms):   0.6  72.7 109.1)
e005-i0372 => L=3.235 acc= 72% / t(ms):   0.6  72.4 108.4)
e005-i0378 => L=3.004 acc= 71% / t(ms):   0.7  72.8 110.1)
e005-i0384 => L=2.929 acc= 76% / t(ms):   0.7  72.1 108.5)
e005-i0390 => L=3.102 acc= 73% / t(ms):   0.6  72.8 108.1)
e005-i0396 => L=2.866 acc= 77% / t(ms):   0.7  72.3 107.4)
e005-i0402 => L=3.476 acc= 59% / t(ms):   0.7  73.2 110.0)
e005-i0408 => L=3.150 acc= 64% / t(ms):   0.6  72.8 109.1)
e005-i0414 => L=2.729 acc= 84% / t(ms):   0.6  72.7 109.2)
e005-i0420 => L=2.667 acc= 83% / t(ms):   0.7  74.8 109.3)
e005-i0426 => L=3.231 acc= 69% / t(ms):   0.7  74.2 110.3)
e005-i0432 => L=3.341 acc= 59% / t(ms):   0.6  73.3 109.2)
e005-i0438 => L=3.275 acc= 66% / t(ms):   0.6  72.9 110.7)
e005-i0444 => L=3.174 acc= 68% / t(ms):   0.6  73.0 110.5)
e005-i0450 => L=2.771 acc= 85% / t(ms):   0.5  72.8 109.2)
e005-i0456 => L=3.142 acc= 80% / t(ms):   0.6  72.2 107.0)
e005-i0462 => L=2.782 acc= 82% / t(ms):   0.6  70.9 106.6)
e005-i0468 => L=3.113 acc= 70% / t(ms):   0.6  70.8 105.8)
e005-i0474 => L=3.117 acc= 76% / t(ms):   0.5  72.0 108.8)
e005-i0480 => L=3.080 acc= 73% / t(ms):   0.5  71.1 107.5)
e005-i0486 => L=2.547 acc= 85% / t(ms):   0.4  69.9 107.0)
e005-i0492 => L=3.511 acc= 63% / t(ms):   0.4  69.7 106.4)
e005-i0498 => L=3.529 acc= 67% / t(ms):   0.4  69.1 104.3)
Validation : 0.0% (timings : 81.44 6.39)
Validation : 16.0% (timings : 67.72 30.41)
Validation : 48.0% (timings : 29.96 49.21)
Validation : 86.0% (timings : 11.41 51.08)
S3DIS mean IoU = 38.9%
e006-i0000 => L=3.157 acc= 71% / t(ms): 8984.8  58.0 164.4)
e006-i0006 => L=2.871 acc= 77% / t(ms):  35.5  77.6 105.8)
e006-i0012 => L=3.215 acc= 75% / t(ms):  19.2  74.4 106.0)
e006-i0018 => L=2.576 acc= 82% / t(ms):  10.5  72.3 106.3)
e006-i0024 => L=3.231 acc= 71% / t(ms):   5.9  72.2 108.0)
e006-i0030 => L=2.979 acc= 71% / t(ms):   3.4  71.2 107.2)
e006-i0036 => L=2.924 acc= 72% / t(ms):   2.1  71.5 106.7)
e006-i0042 => L=2.644 acc= 86% / t(ms):   1.4  71.4 106.3)
e006-i0048 => L=3.365 acc= 64% / t(ms):   1.0  71.1 107.6)
e006-i0054 => L=3.145 acc= 72% / t(ms):   1.0  71.1 107.0)
e006-i0060 => L=3.305 acc= 66% / t(ms):   0.8  70.6 107.9)
e006-i0066 => L=2.947 acc= 71% / t(ms):   0.8  71.3 106.6)
e006-i0072 => L=2.810 acc= 75% / t(ms):   0.6  72.5 107.7)
e006-i0078 => L=3.295 acc= 63% / t(ms):   0.7  73.1 107.1)
e006-i0084 => L=2.697 acc= 77% / t(ms):   0.7  72.7 108.2)
e006-i0090 => L=3.087 acc= 71% / t(ms):   0.7  71.7 106.8)
e006-i0096 => L=2.951 acc= 80% / t(ms):   0.6  73.0 107.9)
e006-i0102 => L=3.064 acc= 74% / t(ms):   0.6  72.7 107.6)
e006-i0108 => L=3.048 acc= 75% / t(ms):   0.7  72.0 108.1)
e006-i0114 => L=3.055 acc= 79% / t(ms):   0.6  71.1 108.5)
e006-i0120 => L=3.053 acc= 67% / t(ms):   0.7  70.7 107.8)
e006-i0126 => L=2.713 acc= 83% / t(ms):   0.8  70.7 105.9)
e006-i0132 => L=2.808 acc= 74% / t(ms):   0.9  70.0 109.0)
e006-i0138 => L=3.134 acc= 74% / t(ms):   0.7  70.8 108.2)
e006-i0144 => L=2.990 acc= 73% / t(ms):   0.6  70.9 106.8)
e006-i0150 => L=2.926 acc= 74% / t(ms):   0.7  70.4 106.6)
e006-i0156 => L=2.822 acc= 75% / t(ms):   0.7  70.5 107.9)
e006-i0162 => L=3.023 acc= 68% / t(ms):   0.7  70.2 107.0)
e006-i0168 => L=3.061 acc= 74% / t(ms):   0.7  71.4 108.8)
e006-i0174 => L=3.151 acc= 70% / t(ms):   0.7  71.7 109.7)
e006-i0180 => L=2.754 acc= 84% / t(ms):   0.7  71.3 108.6)
e006-i0186 => L=2.779 acc= 83% / t(ms):   0.6  72.1 106.9)
e006-i0192 => L=3.180 acc= 75% / t(ms):   0.6  70.7 107.5)
e006-i0198 => L=3.026 acc= 71% / t(ms):   0.6  70.9 106.4)
e006-i0204 => L=3.177 acc= 69% / t(ms):   0.6  70.7 105.5)
e006-i0210 => L=2.830 acc= 71% / t(ms):   0.6  73.7 107.7)
e006-i0216 => L=3.483 acc= 66% / t(ms):   0.6  72.9 108.5)
e006-i0222 => L=2.699 acc= 82% / t(ms):   0.7  73.0 107.6)
e006-i0228 => L=2.981 acc= 74% / t(ms):   0.7  71.7 107.1)
e006-i0234 => L=2.810 acc= 85% / t(ms):   0.7  71.9 107.5)
e006-i0240 => L=3.231 acc= 73% / t(ms):   0.8  73.6 108.5)
e006-i0246 => L=3.074 acc= 73% / t(ms):   0.8  72.2 107.0)
e006-i0252 => L=2.752 acc= 83% / t(ms):   0.9  72.2 107.3)
e006-i0258 => L=2.888 acc= 76% / t(ms):   0.7  71.9 108.2)
e006-i0264 => L=3.687 acc= 56% / t(ms):   0.7  72.5 107.7)
e006-i0270 => L=2.837 acc= 80% / t(ms):   0.7  72.1 106.4)
e006-i0276 => L=2.993 acc= 75% / t(ms):   0.7  72.1 106.2)
e006-i0282 => L=2.932 acc= 76% / t(ms):   0.6  73.0 108.2)
e006-i0288 => L=3.047 acc= 76% / t(ms):   0.6  72.5 108.1)
e006-i0294 => L=3.008 acc= 70% / t(ms):   0.6  72.7 107.9)
e006-i0300 => L=2.992 acc= 69% / t(ms):   0.7  72.3 106.8)
e006-i0306 => L=2.741 acc= 81% / t(ms):   0.7  72.4 106.1)
e006-i0312 => L=2.557 acc= 91% / t(ms):   0.6  72.1 106.3)
e006-i0318 => L=2.944 acc= 73% / t(ms):   0.6  72.7 108.0)
e006-i0324 => L=2.794 acc= 77% / t(ms):   0.6  74.7 110.2)
e006-i0330 => L=2.768 acc= 81% / t(ms):   0.6  73.4 110.4)
e006-i0336 => L=2.893 acc= 76% / t(ms):   0.6  73.4 110.9)
e006-i0342 => L=2.877 acc= 74% / t(ms):   0.7  73.9 110.4)
e006-i0348 => L=3.212 acc= 72% / t(ms):   0.7  72.2 109.0)
e006-i0354 => L=3.048 acc= 79% / t(ms):   0.7  72.1 109.9)
e006-i0360 => L=2.825 acc= 83% / t(ms):   0.7  72.6 108.7)
e006-i0366 => L=2.655 acc= 84% / t(ms):   0.6  72.0 107.2)
e006-i0372 => L=2.753 acc= 84% / t(ms):   0.7  72.0 107.6)
e006-i0378 => L=2.795 acc= 80% / t(ms):   0.6  72.1 106.6)
e006-i0384 => L=3.323 acc= 67% / t(ms):   0.6  72.0 107.7)
e006-i0390 => L=2.751 acc= 84% / t(ms):   0.7  71.2 105.7)
e006-i0396 => L=2.681 acc= 82% / t(ms):   0.8  72.0 105.0)
e006-i0402 => L=2.685 acc= 77% / t(ms):   0.7  71.1 104.5)
e006-i0408 => L=2.475 acc= 86% / t(ms):   0.6  71.9 106.3)
e006-i0414 => L=2.805 acc= 79% / t(ms):   0.6  71.6 107.2)
e006-i0420 => L=2.951 acc= 76% / t(ms):   0.6  72.0 106.4)
e006-i0426 => L=3.119 acc= 75% / t(ms):   0.6  71.3 105.6)
e006-i0432 => L=3.082 acc= 72% / t(ms):   0.6  70.9 104.3)
e006-i0438 => L=3.172 acc= 68% / t(ms):   0.7  71.6 107.0)
e006-i0444 => L=2.893 acc= 82% / t(ms):   0.6  72.8 107.6)
